schedule_id,schedule_additional,schedule_board_id,schedule_day,schedule_ord,schedule_tour_spot_id
15,설악산국립공원(내설악),618,1,1,109
16,주문진해변,618,1,2,107
17,"소노벨 비발디파크 오션월드",618,1,3,110
18,"부석사[유네스코 세계문화유산]",618,2,1,2245
19,"병산서원 [유네스코 세계문화유산]",618,2,2,4405
20,팔공산도립공원(갓바위지구),618,2,3,63
21,"태안 신두리 해안사구",618,3,1,190
22,외암민속마을,618,3,2,191
23,"공주 공산성 [유네스코 세계유산]",618,3,3,1408
24,"안동소주·전통음식 박물관",638,1,1,4197
25,산수정,638,1,2,665
26,"의성 만취당",638,1,3,271
27,대곡사(의성),638,1,4,872
28,"수성못 유원지",638,2,1,106
29,대구오페라하우스,638,2,2,4300
30,"김광석 길 (김광석다시그리기길)",638,2,3,20
31,"대구 동성로거리",638,2,4,875
32,"팔공산 케이블카",638,2,5,4873
33,성당못,638,3,1,258
34,이월드,638,3,2,4524
35,대구수목원,638,3,3,4888
36,독립문,646,1,1,1494
37,"이화여대 자연사박물관",646,1,2,3629
38,홍대,646,1,3,172
39,연남동끝자락길,646,1,4,3792
40,"경포 아쿠아리움",619,1,1,2566
41,강릉아트센터,619,1,2,3085
42,르꼬따쥬,619,1,3,358
43,대굴령마을,619,1,4,2686
44,소금강장천마을,619,2,1,1599
45,해피아워크루즈,619,2,2,3087
46,연곡해변(연곡해수욕장),619,3,1,4110
47,해피아워크루즈,619,3,2,3087
48,소돌항,619,3,3,2680
49,주문진해변,619,3,4,107
50,제주드림타워복합리조트,622,1,1,4031
51,"귤향기 감귤체험농장",622,1,2,1971
52,"한라산 (제주도 국가지질공원)",622,1,3,2440
53,제주마방목지,622,1,4,4648
54,"목마등대 (이호테우등대)",622,2,1,4126
55,도두항,622,2,2,4429
56,사수항,622,2,3,4474
57,전농로,622,2,4,4108
58,"경주 계림",627,1,1,4900
59,국립경주박물관,627,1,2,4227
60,육부전,627,1,3,3589
61,"야호(夜好) 경주! 신라달빛기행(경주일원)",627,1,4,5027
62,"흥무로 벚꽃길",627,1,5,556
63,"경주 보문관광단지",627,1,6,4354
64,황성공원,627,2,1,696
65,신라왕경숲,627,2,2,4457
66,진평왕릉,627,2,3,866
67,"경주 동궁원",627,2,4,1399
68,"경주 동궁원",627,3,1,1399
69,"테디베어뮤지엄 경주",627,3,2,1761
70,"경주 보문관광단지",627,3,3,4354
71,또봇정크아트뮤지엄(경주또봇정크아트뮤지엄),627,3,4,609
72,조현화랑,632,1,1,846
73,"갤러리 미고",632,1,2,4580
74,부산영화촬영스튜디오,632,1,3,4446
75,"부산 영화의 전당",632,1,4,4978
76,"부산 반여도서관",632,1,5,4746
77,삼익비치수변공원,632,2,1,4509
78,광안리해수욕장,632,2,2,4532
79,수영민속예술관,632,2,3,2514
80,"현대모터스튜디오 부산",632,2,4,3074
81,남애항,633,1,1,62
82,동산포해수욕장,633,1,2,4515
83,"38선 휴게소",633,1,3,3760
84,현산공원,633,2,1,1175
85,남대천연어생태공원,633,2,2,3586
86,동명서원,633,2,3,1519
87,"경주 동궁과 월지",634,1,1,1042
88,분황사,634,1,2,4650
89,"와우 주",634,1,3,1612
90,"야호(夜好) 경주! 신라달빛기행(경주일원)",634,1,4,5027
91,보문숲머리먹거리촌,634,1,5,3568
92,"한국대중음악박물관 (경주)",634,2,1,2612
93,"경주 보문관광단지",634,2,2,4354
94,경주백악기월드(백악기월드),634,2,3,985
95,"경주 동궁원",634,2,4,1399
96,"경주 남산 탑곡 마애불상군",634,3,1,219
97,경주배리석불입상,634,3,2,2202
98,"경주 남산동 동ㆍ서 삼층석탑",634,3,3,251
99,백제문화체험박물관,636,1,1,4791
100,장곡사(충남),636,1,2,2377
101,칠갑산자연휴양림,636,1,3,1893
102,가파마을,636,1,4,226
103,남포읍성,636,2,1,666
104,"보령 냉풍욕장",636,2,2,80
105,상양관광농원,636,2,3,879
106,"국립 오서산자연휴양림",636,2,4,4871
107,"보령 충청수영성",636,2,5,4350
108,명동난타극장,637,1,1,4582
109,주한영국문화원,637,1,2,3960
110,명보아트홀,637,1,3,4087
111,남산순환나들길,637,1,4,3657
112,남산서울타워,637,1,5,175
113,"경포 아쿠아리움",639,1,1,2566
114,"강릉 선교장",639,1,2,1393
115,"강릉원주대학교 박물관",639,1,3,3956
116,"강릉 임영관 삼문",639,1,4,1082
117,노암터널,639,2,1,212
118,"강릉 굴산사지",639,2,2,1775
119,강릉자동차극장,639,2,3,2488
120,남항진해변(남항진해수욕장),639,2,4,950
121,염전해변,639,3,1,4664
122,안인해변(안인해수욕장),639,3,2,4487
123,정동진역,639,3,3,18
124,모래시계공원,639,3,4,1690
125,충렬사,640,1,1,1779
126,국립전북기상과학관,640,1,2,1708
127,남산사(정읍),640,1,3,3520
128,고부구읍성,640,1,4,1319
129,명봉도서관,640,2,1,3441
130,정읍김동수씨가옥,640,2,2,1013
131,석탄사(정읍),640,2,3,897
132,"선비문화체험관 우리누리",640,2,4,953
